case_id,hypothesis,case,mechanism,mechanism_path,temperature_K,pressure_bar,equivalence_ratio,egr_fraction,fuel,oxidizer,status,delay_s,delay_ms,peak_dPdt_Pa_s,final_temperature_K,final_pressure_bar,error_type,error,ignition_criterion
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,935,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007972771615120668,0.7972771615120668,362780093084.6708,1935.0151430047151,86.10462289166989,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,945,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008188892303429516,0.8188892303429516,375648454208.90326,1945.4884560814196,85.64742487344546,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,955,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008407661384148046,0.8407661384148046,388725590478.702,1955.3868545573341,85.17738249524197,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,965,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.000861637531983256,0.861637531983256,402007531726.86584,1965.2626384781897,84.71622555779699,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_air:phi0.40,dilution,pure_dme_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,975,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0008793498777617275,0.8793498777617276,415501479578.6519,1975.1000168207063,84.26308558688174,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,875,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013303936589468084,1.3303936589468084,348675655643.2805,1875.4270886067688,86.4449980639842,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,885,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013315061924549718,1.3315061924549718,363044150825.03973,1885.6840549016836,85.92807875518687,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,895,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013301884510644579,1.330188451064458,377071896261.87476,1895.8813469157326,85.42023511338422,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,905,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013274308254806004,1.3274308254806004,390593541298.35077,1905.2449822774977,84.89032519890785,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,915,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013245678899634957,1.3245678899634956,404063245750.3052,1915.2356593307604,84.39674778699022,,,accepted-step maximum dP/dt after qualifying +400 K rise
