crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,mass_error_percent,k_mix_1_s,tau_mix_ms
-92.12349781437,0.012205069748004168,0.08272493805110921,0.6006616063638112,0.5179366683127019,4.89876474176e-11,0.71591899779,245.346667339779,50.8340078734652,296.1806752132442,296.59798523982715,-0.14069887435192996,1.5865410473798789,-5.981688279144137e-05,38.8778511533134,25.72158620744074
-91.67349781437,0.012267569748004168,0.08294073614534397,0.5996193208245412,0.5166785846791973,5.19149099979e-11,0.714823944529,244.0711123681275,50.56972235374872,294.6408347218762,295.05597515737156,-0.14069887426410022,1.5865410473803032,-5.981685604616871e-05,38.94711513703048,25.67584265180173
-91.22349781437,0.012330069748004166,0.083156400805737,0.5985776796524744,0.5154212788467374,5.49494355788e-11,0.713723338882,242.79193377066608,50.30468604573275,293.09661981639886,293.50958449768433,-0.14069887427773375,1.5865410473783563,-5.981697875911962e-05,39.01929837011903,25.628343967501984
-90.77349781437,0.012392569748004166,0.08337194678371708,0.5975366126736547,0.5141646658899376,5.80606936141e-11,0.71261716768,241.5092082540868,50.03891484239376,291.54812309648054,291.95890599058214,-0.14069887428432848,1.5865410473772965,-5.981704556123901e-05,39.094403845537826,25.579108558631685
-90.32349781437,0.012455069748004166,0.08358738802049215,0.596496050242344,0.5129086622218518,6.12114089377e-11,0.711803136509,240.22301342632235,49.77242482366011,289.9954382499825,290.40403345581444,-0.1406988742441495,1.5865410473773092,-5.9817044761878435e-05,39.17243822244063,25.528153093802878
-89.87349781437,0.012517569748004168,0.08380273875768675,0.5954559230179592,0.5116531842602725,6.43428084301e-11,0.711174013185,238.9334277926119,49.50523225499261,288.4386600476045,288.8450617979115,-0.1406988742605919,1.5865410473764712,-5.9817097575187717e-05,39.25344571282171,25.475470543809124
-89.42349781437,0.012580069748004167,0.0840180132625548,0.5944161606276278,0.510398147365073,6.6558883441e-11,0.710527761991,237.64053075118844,49.23735358713619,286.87788433832463,287.2820870006795,-0.1406988742580051,1.5865410473761292,-5.9817119135718855e-05,39.337456867897195,25.421063780462315
-88.97349781437,0.012642569748004165,0.08423322578889621,0.5933766935890119,0.5091434678001157,6.84889092916e-11,0.709864472049,236.3444025877063,48.96880545497459,285.31320804268086,285.71520612134265,-0.14069887428078687,1.5865410473749608,-5.981719277681208e-05,39.424597711581875,25.364875180609065
-88.52349781437,0.012705069748004167,0.08444839207529531,0.5923374468122272,0.5078890547369319,7.03800671421e-11,0.709184245336,235.04512447136628,48.699604675835864,283.7447291472022,284.1445172843323,-0.1406988742739257,1.5865410473741755,-5.9817242281656746e-05,39.51496562325894,25.306867517844662
-88.07349781437,0.012767569748004168,0.08466352727213339,0.5912983474145602,0.5066348201424269,7.23093464964e-11,0.708487196025,233.7427784479686,48.42976824923824,282.1725466972069,282.57011967472386,-0.1406988743093862,1.5865410473731865,-5.981730460957735e-05,39.60850157872194,25.247105044165806
-87.62349781437,0.012830069748004167,0.08487864610409865,0.5902593249748135,0.5053806788707148,7.43434522718e-11,0.70777344999,232.43744743571574,48.1593133550245,280.59676079074023,280.99211353132193,-0.14069887428979078,1.5865410473725923,-5.98173420685022e-05,39.705108233563955,25.185676213688524
-87.17349781437,0.012892569748004169,0.0850937624206863,0.5892203133595891,0.5041265509389028,7.65384174251e-11,0.707043144664,231.1292152178666,47.8882573525489,279.0174725704156,279.41060013939426,-0.1406988742669646,1.5865410473724768,-5.981734934046301e-05,39.80471945029237,25.122649118248088
-86.72349781437,0.012955069748004167,0.08530889006690363,0.5881812472851109,0.5028723572182072,7.89390915301e-11,0.706296428246,229.81816643718923,47.6166177791972,277.4347842163864,277.8256818230573,-0.140698874238665,1.5865410473722594,-5.9817363040615135e-05,39.90732887696887,25.05805395001306
-86.27349781437,0.013017569748004165,0.08552404275230764,0.5871420626833813,0.5016180199310737,8.16173153489e-11,0.705533459755,228.5043865890779,47.34441234901675,275.8487989380947,276.23746193731165,-0.14069887425520733,1.5865410473722588,-5.9817363085024056e-05,40.013001737577234,24.991876554486897
-85.82349781437,0.013080069748004167,0.08573923386570875,0.5861026915389083,0.5003634576731995,8.40064082067e-11,0.704754407852,227.18796201518424,47.07165895120514,274.2596209663894,274.64604485973257,-0.14069887426942929,1.586541047371506,-5.981741053595613e-05,40.12192210547179,24.924030243895544
-85.37349781437,0.013142569748004169,0.08595447840238363,0.5850630614175998,0.49910858301521616,8.5751986039e-11,0.703959449961,225.86897989562976,46.79837564887736,272.6673555445071,273.05153598181334,-0.1406988742710613,1.5865410473715558,-5.981740739402497e-05,40.23420821039011,24.85447196502203
-84.92349781437,0.013205069748004167,0.08616979128095323,0.5840231004178614,0.4978533091369082,8.77148375475e-11,0.703148772215,224.54752824181213,46.524580677502556,271.07210891931464,271.4540416999666,-0.14069887420357086,1.5865410473724924,-5.981734836346675e-05,40.34980447882417,24.7832675502754
-84.47349781437,0.013267569748004165,0.08638518616157782,0.582982740253085,0.49659755409150724,8.99262279584e-11,0.702322569788,223.22369588823108,46.250292442708854,269.47398833093996,269.8536694061844,-0.1406988743491766,1.586541047369662,-5.9817526765204576e-05,40.46863721648105,24.710493576807306
-84.02349781437,0.013330069748004167,0.08660067755944824,0.5819419151907755,0.4953412376313273,9.24133393342e-11,0.701481046409,221.89757248626404,45.97552951983299,267.87310200609704,268.2505274783578,-0.14069887422354377,1.586541047370266,-5.981748869565706e-05,40.59062180215186,24.636232597623973
-83.57349781437,0.013392569748004166,0.08681627757536221,0.5809005625675784,0.4940842849922162,9.51985714085e-11,0.70062441433,220.56924849290823,45.700310650596286,266.2695591435045,266.64472527026135,-0.1406988742704618,1.586541047369718,-5.981752323469536e-05,40.71569668259919,24.56055235393709
