deg,P_bar,T_K,pistonVelocity_m_s
62.0,17.574639329038366,708.6001551178111,0.4476150515123699
63.0,17.09876222605999,702.3205363666231,0.44977188058871664
64.0,16.642574932084134,696.2037511761285,0.451735618521025
65.0,16.20519220592894,690.2468891666064,0.4535069214482658
66.0,15.78576908626599,684.4470495267502,0.4550865862520045
67.0,15.383499412794123,678.8013454316738,0.45647554909014404
68.0,14.99761433547698,673.3069078694883,0.4576748837084024
69.0,14.627380824847732,667.9608889388237,0.45868579952893984
70.0,14.272100194103068,662.7604646740965,0.45950963951630597
71.0,13.931106641739065,657.7028374501831,0.46014787782165917
72.0,13.603765821784595,652.7852380133718,0.4606021172070193
73.0,13.289473447233501,648.00492718107,0.4608740862521362
74.0,12.987653931033137,643.3591972486886,0.46096563634739685
75.0,12.697759067927759,638.8453731383876,0.46087873847704
76.0,12.419266759558644,634.4608133209629,0.460615479797797
77.0,12.151679784465024,630.2029105390111,0.46017806001892436
78.0,11.89452461399529,626.0690923566564,0.45956878759043207
79.0,11.64735027460749,622.0568215585043,0.4587900757071363
80.0,11.409727256599679,618.1635964181125,0.45784443813696807
81.0,11.181246468949759,614.3869508540953,0.4567344848827459
82.0,10.961518239651165,610.7244544900092,0.4554629176873669
83.0,10.750171360695337,607.1737126323828,0.4540325253930749
84.0,10.546852176664574,603.7323661796189,0.4524461791661281
85.0,10.351223715754873,600.3980914730386,0.4507068275988021
86.0,10.162964861938399,597.1686001000011,0.4488174917012228
87.0,9.981769566895876,594.0416386578298,0.4467812597960259
88.0,9.807346100295087,591.0149884861958,0.4446012823292749
89.0,9.639416336957932,588.086465374625,0.442280766611444
90.0,9.477715079443051,585.2539192509258,0.43982297150257105
91.0,9.321989414569286,582.5152338555338,0.4372312020559177
92.0,9.171998102415694,579.8683264060691,0.4345088041346264
93.0,9.02751099635386,577.3111472557646,0.43165915901594754
94.0,8.888308492695764,574.8416795488583,0.4286856779976092
95.0,8.754181008574017,572.457938875534,0.4255917970208343
96.0,8.624928486709887,570.1579729285539,0.42238097132435787
97.0,8.500359925765968,567.9398611633208,0.4190566701435806
98.0,8.38029293502503,565.8017144627574,0.41562237146869263
99.0,8.264553312182501,563.7416748080879,0.412081556875248
100.0,8.152974643087083,561.7579149563217,0.40843770644023075
101.0,8.045397922311759,559.8486381250174,0.4046942937561656
102.0,7.941671193484747,558.0120776846866,0.4008547810552736
103.0,7.841649208357437,556.2464968590273,0.3969226144550653
104.0,7.745193103632584,554.5501884330217,0.3929012193361112
105.0,7.652170094621705,552.9214744688028,0.3887939958620286
106.0,7.562453184845195,551.3587060290891,0.3846043146509879
107.0,7.47592089073159,549.8602629078949,0.38033551260727044
108.0,7.392456980614488,548.4245533681496,0.37599088892061633
109.0,7.311950227265698,547.050013885803,0.37157370124028055
110.0,7.234294173242327,545.7351088999484,0.3670871620298878
111.0,7.159386908362523,544.4783305684614,0.3625344351083339
112.0,7.087130858660538,543.2781985286299,0.35791863238114185
113.0,7.017432586205815,542.1332596622367,0.3532428107658379
114.0,6.9502025992036405,541.0420878645541,0.3485099693140852
115.0,6.8853551718258865,540.0032838167067,0.34372304653249164
116.0,6.822808173250103,539.0154747608691,0.33888491790321307
117.0,6.762482905413578,538.0773142777814,0.33399839360469413
118.0,6.704303949015545,537.1874820660736,0.32906621643214107
119.0,6.648199017326573,536.3446837229253,0.3240910599166053
120.0,6.594098817388015,535.5476505255967,0.3190755266408697
121.0,6.541936918207611,534.7951392134062,0.3140221467496872
122.0,6.491649625578937,534.0859317697517,0.30893337665131354
123.0,6.443175863172944,533.4188352038046,0.3038115979067114
124.0,6.396457059569562,532.7926813315405,0.2986591163022867
125.0,6.351437040915435,532.2063265557967,0.2934781611015355
126.0,6.30806192891166,531.658651645086,0.2882708844705598
127.0,6.26628004385165,531.1485615109236,0.28303936107201577
128.0,6.226041812444952,530.6749849834592,0.2777855878217316
129.0,6.187299680177586,530.2368745852383,0.2725114838019311
130.0,6.150008027973323,529.833206302945,0.26721889032475854
131.0,6.114123092933619,529.4629793570148,0.26190957113959784
132.0,6.079602892946164,529.125215969029,0.25658521277751367
133.0,6.046407154963853,528.8189611268339,0.2512474250260357
134.0,6.0144972467671,528.5432823473558,0.24589774152741734
135.0,5.983836112032738,528.2972694371068,0.24053762049347108
136.0,5.954388208542738,528.0800342504,0.23516844553007127
137.0,5.926119449375251,527.8907104453182,0.2297915265644517
138.0,5.8989971469293065,527.7284532374997,0.2244081008684814
139.0,5.872989959642781,527.5924391518247,0.2190193341712006
140.0,5.848067841271093,527.4818657721047,0.21362632185401048
141.0,5.824201992601543,527.3959514888946,0.2082300902220574
142.0,5.8013648154851065,527.3339352455611,0.20283159784551885
143.0,5.779529869074191,527.2950762827556,0.19743173696467806
144.0,5.758671828161091,527.2786538814548,0.19203133495288613
145.0,5.738766443517635,527.2839671047363,0.1866311558317185
146.0,5.719790504142283,527.3103345384753,0.18123190183287521
147.0,5.701721801326063,527.3570940311488,0.1758342150016057
148.0,5.684539094453724,527.4236024329471,0.17043867883670127
149.0,5.668222078461145,527.5092353343912,0.16504581996234874
150.0,5.652751352874626,527.6133868046688,0.15965610982740577
151.0,5.638108392361677,527.7354691298954,0.1542699664279288
152.0,5.624275518727045,527.8749125515155,0.14888775604904675
153.0,5.611235874291438,528.0311650050613,0.1435097950225516
154.0,5.598973396593944,528.2036918594805,0.1381363514968377
155.0,5.587472794362529,528.3919756572521,0.132767647216096
156.0,5.576719524700184,528.5955158555034,0.12740385930592465
157.0,5.566699771437365,528.8138285683409,0.12204512206278317
158.0,5.557400424604177,529.0464463106073,0.11669152874496584
