bore_mm,candidate,cold_base_um,conditional_preheat_Tl_K_at_threshold,conditional_preheat_Tp_K_at_threshold,conditional_preheat_safe_intervals_K,conditional_preheat_threshold_K_liner_30K_hotter,conditional_preheat_type_liner_30K_hotter,fit_feasible,fit_lower_bound_um,fit_upper_bound_um,h_model,leakage_gas_temperature_K,leakage_pressure_bar,liner_taper_um,machining_error_um,nonnegative_fit_feasible,nonuniform_equivalent_clearance_um,nonuniform_leakage_status,nonuniform_mdot_mg_s,periodic_below_1um_margin_at_base,periodic_contact_at_base,periodic_min_hot_clearance_at_base_um,piston_barrel_um,piston_taper_um,worst_profile_deg,worst_station
8.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,13.59070885479982,14.39838578909464,angle_correlation,914.9993707542533,37.99333058166278,0.0,1.0,True,,contact_invalid_annulus,,True,True,-1.6067728542488169,2.0,0.0,38.0,ringland_or_mid_skirt
8.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,13.757288313320752,14.562591337187673,angle_correlation,772.9212381485486,22.911322920207986,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-1.7743972603456726,-2.0,0.0,53.0,crown
8.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,12.757288313320752,13.562591337187673,angle_correlation,772.9212381485486,22.911322920207986,0.0,0.0,True,,contact_invalid_annulus,,True,True,-0.769843724498287,-2.0,0.0,53.0,crown
8.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,11.757288313320752,12.562591337187673,angle_correlation,772.9212381485486,22.911322920207986,0.0,1.0,True,0.3919703068988856,annulus_positive_clearance,0.004945636029207771,True,False,0.2347098113499868,-2.0,0.0,53.0,crown
8.5,piston_skirt_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,15.453033124880289,14.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,0.0,-1.0,False,,contact_invalid_annulus,,True,True,-3.477009387240493,0.0,2.0,-115.0,skirt_end
8.5,piston_skirt_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,14.453033124880289,13.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,0.0,0.0,False,,contact_invalid_annulus,,True,True,-2.4726125200640325,0.0,2.0,-115.0,skirt_end
8.5,piston_skirt_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,13.453033124880289,12.700855790306806,angle_correlation,509.79900235988794,6.500233059104473,0.0,1.0,False,,contact_invalid_annulus,,True,True,-1.468215652886684,0.0,2.0,-115.0,skirt_end
8.5,piston_crown_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,15.757288313320752,14.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,-1.0,False,,contact_invalid_annulus,,True,True,-3.783504332041332,0.0,-2.0,53.0,crown
8.5,piston_crown_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,14.757288313320752,13.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,0.0,False,,contact_invalid_annulus,,True,True,-2.7789507961939464,0.0,-2.0,53.0,crown
8.5,piston_crown_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,13.757288313320752,12.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,0.0,1.0,False,,contact_invalid_annulus,,True,True,-1.7743972603456726,0.0,-2.0,53.0,crown
8.5,cold_tdc_pinch_demo,1.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,15.757288313320752,14.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,-1.0,False,,contact_invalid_annulus,,True,True,-12.824486154670916,0.0,0.0,53.0,crown
8.5,cold_tdc_pinch_demo,1.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,14.757288313320752,13.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,0.0,False,,contact_invalid_annulus,,True,True,-11.819932618823174,0.0,0.0,53.0,crown
8.5,cold_tdc_pinch_demo,1.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,13.757288313320752,12.39838578909464,angle_correlation,772.9212381485486,22.911322920207986,-2.0,1.0,False,,contact_invalid_annulus,,True,True,-10.815379082975696,0.0,0.0,53.0,crown
12.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,17.81567818338202,20.282679297468754,constant_h,684.4470495267502,15.78576908626599,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-5.848762968092558,0.0,0.0,66.0,crown
12.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,16.81567818338202,19.282679297468754,constant_h,684.4470495267502,15.78576908626599,0.0,0.0,True,,contact_invalid_annulus,,True,True,-4.844529837719769,0.0,0.0,66.0,crown
12.5,neutral,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,15.815678183382019,18.282679297468754,constant_h,684.4470495267502,15.78576908626599,0.0,1.0,True,,contact_invalid_annulus,,True,True,-3.8402967073452032,0.0,0.0,66.0,crown
12.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,19.348494815754282,18.722442401753014,constant_h,465.9768318218795,5.30252954801171,2.0,-1.0,False,,contact_invalid_annulus,,True,True,-7.386714914217052,0.0,0.0,-134.0,skirt_end
12.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,18.348494815754282,17.722442401753014,constant_h,465.9768318218795,5.30252954801171,2.0,0.0,False,,contact_invalid_annulus,,True,True,-6.382626544996661,0.0,0.0,-134.0,skirt_end
12.5,liner_open_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,17.348494815754282,16.722442401753014,constant_h,465.9768318218795,5.30252954801171,2.0,1.0,False,,contact_invalid_annulus,,True,True,-5.3785381757753825,0.0,0.0,-134.0,skirt_end
12.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,19.81567818338202,18.282679297468754,constant_h,684.4470495267502,15.78576908626599,-2.0,-1.0,False,,contact_invalid_annulus,,True,True,-7.857229228841689,0.0,0.0,66.0,crown
12.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,18.81567818338202,17.282679297468754,constant_h,684.4470495267502,15.78576908626599,-2.0,0.0,False,,contact_invalid_annulus,,True,True,-6.852996098467123,0.0,0.0,66.0,crown
12.5,liner_pinch_top,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,17.81567818338202,16.282679297468754,constant_h,684.4470495267502,15.78576908626599,-2.0,1.0,False,,contact_invalid_annulus,,True,True,-5.848762968092558,0.0,0.0,66.0,crown
12.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,19.566620024385713,20.282679297468754,constant_h,772.9212381485486,22.911322920207986,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-7.606418439848994,2.0,0.0,53.0,ringland_or_mid_skirt
12.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,18.566620024385713,19.282679297468754,constant_h,772.9212381485486,22.911322920207986,0.0,0.0,True,,contact_invalid_annulus,,True,True,-6.602258306450892,2.0,0.0,53.0,ringland_or_mid_skirt
12.5,piston_barrel_outward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,17.566620024385713,18.282679297468754,constant_h,772.9212381485486,22.911322920207986,0.0,1.0,True,,contact_invalid_annulus,,True,True,-5.598098173053678,2.0,0.0,53.0,ringland_or_mid_skirt
12.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,17.81567818338202,18.523794900736224,constant_h,684.4470495267502,15.78576908626599,0.0,-1.0,True,,contact_invalid_annulus,,True,True,-5.848762968092558,-2.0,0.0,66.0,crown
12.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,16.81567818338202,17.523794900736224,constant_h,684.4470495267502,15.78576908626599,0.0,0.0,True,,contact_invalid_annulus,,True,True,-4.844529837719769,-2.0,0.0,66.0,crown
12.5,piston_barrel_inward,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,True,15.815678183382019,16.523794900736224,constant_h,684.4470495267502,15.78576908626599,0.0,1.0,True,,contact_invalid_annulus,,True,True,-3.8402967073452032,-2.0,0.0,66.0,crown
12.5,piston_skirt_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,19.348494815754282,18.722442401753014,constant_h,465.9768318218795,5.30252954801171,0.0,-1.0,False,,contact_invalid_annulus,,True,True,-7.386714914217052,0.0,2.0,-134.0,skirt_end
12.5,piston_skirt_larger,10.0,323.15,293.15,"[[293.15, 700.0]]",293.15,always,False,18.348494815754282,17.722442401753014,constant_h,465.9768318218795,5.30252954801171,0.0,0.0,False,,contact_invalid_annulus,,True,True,-6.382626544996661,0.0,2.0,-134.0,skirt_end
