cycle,cycle_energy_balance_residual_J,cycle_max_delta_K,external_energy_J,gas_energy_J,h_model,liner_material,liner_tdc_end_K,max_temperature_K,min_path_hot_clearance_3um,min_temperature_K,piston_material,piston_skirt_end_K,skirt_liner_tdc_hot_clearance_3um
32,1.7918232742468705,0.4785726802682575,-0.18119756709966028,1.9730208413465309,constant_h,steel_4140,321.13224097265964,321.13224097265964,2.2459186723704505,310.13439000901866,al_4032_t6,315.4697624480574,2.600021338351688
33,1.7829379437886848,0.47663386484543935,-0.18703010764464967,1.9699680514333344,constant_h,steel_4140,321.52439118266483,321.52439118266483,2.226816581852198,310.57985001911015,al_4032_t6,315.94639631290283,2.580916940835287
34,1.7741079639148254,0.4751405011251677,-0.19282550457352096,1.9669334684883464,constant_h,steel_4140,321.9134477145687,321.9134477145687,2.2077104623265953,311.02576365545923,al_4032_t6,316.421536814028,2.561776491847745
35,1.7653326064112234,0.47367397944753975,-0.1985840241033227,1.9639166305145461,constant_h,steel_4140,322.2995171587758,322.2995171587758,2.18859961859863,311.4719203045015,al_4032_t6,316.89521079347554,2.5426032612365645
36,1.756611181186021,0.4722311906160144,-0.2043059431199101,1.9609171243059311,constant_h,steel_4140,322.68269289266493,322.68269289266493,2.1694833911318767,311.91813161889405,al_4032_t6,317.36744198409156,2.523400095540751
37,1.747943032835732,0.47080932124191577,-0.20999154580139498,1.957934578637127,constant_h,steel_4140,323.0630571453443,323.0630571453443,2.1503611799209565,312.3642292101159,al_4032_t6,317.8382513053335,2.5041694998009234
38,1.7393275374931054,0.46940583505511313,-0.21564112103045951,1.9549686585235648,constant_h,steel_4140,323.44068272029824,323.44068272029824,2.131232461005439,312.81006257549984,al_4032_t6,318.3076571403886,2.4849137033120527
39,1.7307640999492937,0.4680184527339861,-0.2212549604141346,1.9520190603634282,constant_h,steel_4140,323.8156344355024,323.8156344355024,2.112096797165286,313.2554972371558,al_4032_t6,318.77567559312257,2.46563471251271
40,1.7222521510378437,0.46664513136698815,-0.22683335677166971,1.9490855078095135,constant_h,steel_4140,324.18797032962203,324.18797032962203,2.0929538441132323,313.7004130720753,al_4032_t6,319.24232072448956,2.4463343535332527
41,1.713791145264749,0.4652840442381603,-0.23237660298362722,1.9461677482483761,constant_h,steel_4140,324.5577426740998,324.5577426740998,2.073803353182413,314.14470281447535,al_4032_t6,319.7076047687277,2.427014306431552
42,1.7053805586672017,0.4639335614054403,-0.23788499111996877,1.9432655497871705,constant_h,steel_4140,324.92499882380844,324.92499882380844,2.054645171373437,314.5882707131539,al_4032_t6,320.17153833013316,2.4076761327256335
43,1.697019886883051,0.4625922313604178,-0.24335881178364085,1.940378698666692,constant_h,steel_4140,325.2897819331718,325.2897819331718,2.035479239409277,315.03103132819814,al_4032_t6,320.6341305614936,2.388321297516427
44,1.688708643413047,0.4612587639067556,-0.24879835362088903,1.937506997033936,constant_h,steel_4140,325.65213155995815,325.65213155995815,2.016305588361078,315.47290845288177,al_4032_t6,321.09538932540033,2.3689511872504454
45,1.6804463580586018,0.4599320143200316,-0.2542039029602913,1.9346502610188931,constant_h,steel_4140,326.0120841751198,326.0120841751198,1.9971243352401302,315.9138341479461,al_4032_t6,321.55532133972036,2.3495671239475158
46,1.6722325755187109,0.4586109688160036,-0.2595757435512834,1.9318083190699942,constant_h,steel_4140,326.36967359390974,326.36967359390974,1.977935677912157,316.35374787671583,al_4032_t6,322.01393230853637,2.3301703765881143
47,1.6640668541305732,0.4572947312585143,-0.2649141563794503,1.9289810105100236,constant_h,steel_4140,326.7249313409272,326.74376727545666,1.9587398896012687,316.7925957306457,al_4032_t6,322.4712270397949,2.310762170189662
