assumption_label,converged,cooling_scale,cycles_completed,feasible,h_model,h_scale,initial_temperature_K,liner_material,liner_tdc_max_K,liner_tdc_min_K,lower_bound_is_negative_interference_target,nonnegative_cold_fit_feasible,periodic_converged,periodic_min_path_hot_clearance_3um,piston_material,piston_skirt_max_K,piston_skirt_min_K,required_cold_lower_um,required_cold_upper_um,temperature_offset_K,warmup_converged,warmup_min_path_hot_clearance_3um
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,1.0,300.0,steel_4140,413.6340719110711,412.4867559903002,False,True,True,-8.365971909453762,al_4032_t6,492.5278382590494,492.44367551184496,13.322537112520457,15.583530432190596,0.0,False,-1.7607213049775083
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,1.0,300.0,steel_4140,418.6813668378717,417.49130990912204,False,True,True,-8.824154017347041,al_4032_t6,500.78692321863895,500.6999455937355,13.776885114000514,16.01024925669106,20.0,False,-1.9304061581832954
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.25,300.0,steel_4140,512.1607651749022,511.2234331796337,False,True,True,-8.990228086942054,al_4032_t6,567.9344328940114,567.8600371599048,13.927538802970574,16.37101542428567,-20.0,False,-1.8493567598021343
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.25,300.0,steel_4140,523.2144061259187,522.2588095916295,False,True,True,-9.539858662926726,al_4032_t6,581.3519235853189,581.2768433350302,14.470793443090182,16.894048442941045,0.0,False,-2.001675760777033
engineering sensitivity grid; not measured production statistics,True,0.5,120,True,angle_correlation,1.25,300.0,steel_4140,534.1273381365661,533.1520300120446,False,True,True,-10.084755689290681,al_4032_t6,594.6214331849701,594.5455700548229,15.009074316419932,17.41213881833938,20.0,False,-2.1509008103963723
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.25,300.0,steel_4140,455.28483631554354,454.1230076603538,False,True,True,-9.027424975451837,al_4032_t6,528.3625103082336,528.2766706901108,13.973135853514767,16.264225046373127,-20.0,False,-2.216752788241294
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.25,300.0,steel_4140,462.9982752170846,461.798796499134,False,True,True,-9.561617686578927,al_4032_t6,539.2741486869014,539.1865432635875,14.50202511489998,16.76551152465057,0.0,False,-2.3857439471104414
engineering sensitivity grid; not measured production statistics,True,1.0,120,True,angle_correlation,1.25,300.0,steel_4140,470.5825739963196,469.34396474302594,False,True,True,-10.089775360043518,al_4032_t6,550.0325331189819,549.9429996914746,15.02470482909451,17.26077083984834,20.0,False,-2.5512622875218938
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,1.25,300.0,steel_4140,424.6870678484137,423.3842308592906,False,True,True,-9.047442950981477,al_4032_t6,507.0670330015506,506.9739382044794,13.997704142032266,16.20612954011526,-20.0,False,-2.5189895482684577
engineering sensitivity grid; not measured production statistics,True,1.5,120,True,angle_correlation,1.25,300.0,steel_4140,430.7293100885931,429.3786110586469,False,True,True,-9.57328199638674,al_4032_t6,516.7183729717591,516.6227955168538,14.518788903959809,16.69596532594238,0.0,False,-2.7016787323246305
